NUMERO_SEQUENTIEL_QUARTIER;NUMERO_QUARTIER;NUMERO_QUARTIER_INSEE;NOM_QUARTIER;NUMERO_ARRONDISSEMENT;NUMERO_SEQUENTIEL_ARRONDISSEMENT;PERIMETRE;SURFACE;GEOMETRY_X_Y;ST_AREA_SHAPE;ST_PERIMETER_SHAPE
750000047;47;7511203;Bercy;12;750000012;6155.00503581;1902932.20180839;"{""lon"":2.3862100842120184,""lat"":48.835209049865114}";1902932.201808392;6154.591386940687
750000054;54;7511402;Parc-de-Montsouris;14;750000014;5224.26536878;1357950.39031575;"{""lon"":2.337070179863054,""lat"":48.823452771575106}";1357950.3903157462;5223.847751468527
750000078;78;7512002;Saint-Fargeau;20;750000020;5405.03643277;1486971.46267173;"{""lon"":2.406171530151038,""lat"":48.87103473909125}";1486971.462671731;5404.838135405879
750000080;80;7512004;Charonne;20;750000020;6167.33826507;2090903.97517298;"{""lon"":2.407430328235969,""lat"":48.854760283035255}";2090903.9751729844;6167.023086347719
750000005;5;7510201;Gaillon;2;750000002;1866.98204093;188012.20385047;"{""lon"":2.3334318076581146,""lat"":48.869306638088744}";188012.20385047235;1866.9134417394455
750000055;55;7511403;Petit-Montrouge;14;750000014;5490.63667232;1345774.2646037;"{""lon"":2.3264369992249008,""lat"":48.82665262554388}";1345774.2646037;5490.212846009181
750000006;6;7510202;Vivienne;2;750000002;2058.47295924;243550.77062341;"{""lon"":2.3394607437483312,""lat"":48.86910019977125}";243550.7706234047;2058.3939469066327
750000015;15;7510403;Arsenal;4;750000004;2878.55965556;487264.93707154;"{""lon"":2.3647679538731117,""lat"":48.851585175021285}";487264.9370715421;2878.401495985194
750000053;53;7511401;Montparnasse;14;750000014;4565.13618936;1126205.40674455;"{""lon"":2.331783822887114,""lat"":48.8376230959726}";1126205.406744545;4564.840667107716
750000062;62;7511602;Muette;16;750000016;11962.438594;5477898.30048563;"{""lon"":2.259935831704838,""lat"":48.86327454383974}";5477898.300485639;11961.948851664954
750000067;67;7511703;Batignolles;17;750000017;5832.69002632;1441710.87038814;"{""lon"":2.313856169006357,""lat"":48.888481513920595}";1441710.870388137;5832.58435302199
750000068;68;7511704;Epinettes;17;750000017;5171.70645067;1378544.9478026;"{""lon"":2.321118743705154,""lat"":48.8949426537908}";1378544.9478026049;5171.633006557311
750000022;22;7510602;Odéon;6;750000006;3516.31446441;716148.35103094;"{""lon"":2.3363388275876775,""lat"":48.847800629292664}";716148.3510309359;3516.110384339274
750000039;39;7511003;Porte-Saint-Martin;10;750000010;3245.89141305;609034.65445098;"{""lon"":2.3615036473450113,""lat"":48.87124465089237}";609034.6544509808;3245.778221571815
750000071;71;7511803;Goutte-d'Or;18;750000018;5176.40689459;1089225.57975143;"{""lon"":2.355536163296278,""lat"":48.89213818760241}";1089225.5797514336;5176.3160667455495
750000034;34;7510902;Chaussée-d'Antin;9;750000009;3133.58009176;543441.16771129;"{""lon"":2.332268868869704,""lat"":48.87354738020911}";543441.1677112889;3133.4724781225277
750000036;36;7510904;Rochechouart;9;750000009;2862.45052541;500435.41496439;"{""lon"":2.3448612910024424,""lat"":48.87981191977869}";500435.41496439447;2862.3690781581777
750000070;70;7511802;Clignancourt;18;750000018;6005.52038878;1653715.16259272;"{""lon"":2.3459787545931863,""lat"":48.89166759106752}";1653715.162592718;6005.40890916446
750000072;72;7511804;La Chapelle;18;750000018;5261.43659644;1347544.5496766;"{""lon"":2.3643867790293243,""lat"":48.894012169582226}";1347544.5496765962;5261.350648907615
750000075;75;7511903;Amérique;19;750000019;6399.02208167;1835720.27493257;"{""lon"":2.3954401666237373,""lat"":48.88163816729657}";1835720.274932569;6398.855858318239
750000029;29;7510801;Champs-Elysées;8;750000008;5480.6528696;1140253.99187045;"{""lon"":2.3086516846814,""lat"":48.867074492185395}";1140253.9918704468;5480.448989227012
750000040;40;7511004;Hôpital-Saint-Louis;10;750000010;4453.17799119;883726.0024999;"{""lon"":2.36812301788768,""lat"":48.876008290020586}";883726.0024998966;4453.0384145717135
750000048;48;7511204;Quinze-Vingts;12;750000012;4509.48697389;1235915.67811719;"{""lon"":2.374401626479208,""lat"":48.84691594405347}";1235915.6781171854;4509.226316604805
750000077;77;7512001;Belleville;20;750000020;3738.45443205;806568.64577504;"{""lon"":2.3875492398498035,""lat"":48.87153120058614}";806568.6457750429;3738.322948580719
750000041;41;7511101;Folie-Méricourt;11;750000011;3724.35269433;725752.4910413;"{""lon"":2.3729648249267643,""lat"":48.86740319007272}";725752.4910412983;3724.205831470018
750000014;14;7510402;Saint-Gervais;4;750000004;2678.34092334;422028.17132449;"{""lon"":2.358162333852766,""lat"":48.85571865089275}";422028.1713244911;2678.207900120285
750000069;69;7511801;Grandes-Carrières;18;750000018;6398.47443386;1905565.87016357;"{""lon"":2.334363089913081,""lat"":48.89257777114592}";1905565.8701635704;6398.3626114680665
750000058;58;7511502;Necker;15;750000015;5979.71146925;1578484.18990921;"{""lon"":2.3107774536393966,""lat"":48.84271125032415}";1578484.1899092053;5979.347770939487
750000019;19;7510503;Val-de-Grace;5;750000005;3485.83135795;703631.1629235;"{""lon"":2.3438609263160095,""lat"":48.84168428795317}";703631.1629235016;3485.614347042368
750000020;20;7510504;Sorbonne;5;750000005;2892.94406823;433197.79244055;"{""lon"":2.3457466001872485,""lat"":48.8490447659431}";433197.7924405485;2892.781167283851
750000038;38;7511002;Porte-Saint-Denis;10;750000010;2736.29295365;472113.59989654;"{""lon"":2.352282894951218,""lat"":48.87361766097465}";472113.5998965415;2736.2001223899265
750000045;45;7511201;Bel-Air;12;750000012;18427.8222383;5970920.50253212;"{""lon"":2.4331784419569793,""lat"":48.8379956461218}";5970920.502532114;18426.599903335813
750000057;57;7511501;Saint-Lambert;15;750000015;6928.79207234;2829201.55405581;"{""lon"":2.296919974448867,""lat"":48.83429362836976}";2829201.5540558104;6928.319924779923
750000065;65;7511701;Ternes;17;750000017;5264.59708157;1465070.90670735;"{""lon"":2.289963738115156,""lat"":48.88117755028415}";1465070.9067073462;5264.463406055184
750000001;1;7510101;Saint-Germain-l'Auxerrois;1;750000001;5057.54947506;869000.66456395;"{""lon"":2.3349103292801994,""lat"":48.86065013520993}";869000.6645639493;5057.332772400585
750000023;23;7510603;Notre-Dame-des-Champs;6;750000006;4559.98977263;861307.03782615;"{""lon"":2.327356878234607,""lat"":48.84642759400415}";861307.0378261498;4559.726714274661
750000026;26;7510702;Invalides;7;750000007;4434.65648913;1073733.76894888;"{""lon"":2.3164447403399206,""lat"":48.858514966137854}";1073733.7689488826;4434.443422496898
750000043;43;7511103;Roquette;11;750000011;4973.0105569;1172086.94385734;"{""lon"":2.380364061726767,""lat"":48.85706404083103}";1172086.94385734;4972.768946420964
750000018;18;7510502;Jardin-des-Plantes;5;750000005;4052.72952079;798389.39846272;"{""lon"":2.356893889624744,""lat"":48.84194019337512}";798389.398462723;4052.473225734214
750000003;3;7510103;Palais-Royal;1;750000001;2166.83923918;273696.79330056;"{""lon"":2.3363089189653063,""lat"":48.86465997810256}";273696.79330056306;2166.750302535665
750000024;24;7510604;Saint-Germain-des-Prés;6;750000006;2565.8998932;282279.93986392;"{""lon"":2.3336568680904577,""lat"":48.85528871996157}";282279.93986391503;2565.7678218154265
750000060;60;7511504;Javel;15;750000015;8068.97738509;2609009.45573145;"{""lon"":2.2780763469189345,""lat"":48.83906040108164}";2609009.455731445;8068.454982691577
750000037;37;7511001;Saint-Vincent-de-Paul;10;750000010;4072.78963288;926865.22977637;"{""lon"":2.35747081044636,""lat"":48.88073523727109}";926865.2297763652;4072.6797023966506
750000046;46;7511202;Picpus;12;750000012;18261.910318;7205014.42000634;"{""lon"":2.428826815083849,""lat"":48.830359242366505}";7205014.420006342;18260.60228310909
750000050;50;7511302;Gare;13;750000013;7070.35056681;3044177.51486294;"{""lon"":2.3723977369189355,""lat"":48.82752745777257}";3044177.5148629434;7069.818894016338
750000052;52;7511304;Croulebarbe;13;750000013;3289.23047985;692067.71109168;"{""lon"":2.3476730460658106,""lat"":48.83373367612219}";692067.711091676;3289.004750971283
750000066;66;7511702;Plaine de Monceaux;17;750000017;5247.3532469;1383507.69887172;"{""lon"":2.302909824651906,""lat"":48.88504369140323}";1383507.6988717203;5247.241239561612
750000059;59;7511503;Grenelle;15;750000015;4932.93724049;1478299.05190638;"{""lon"":2.291852642697574,""lat"":48.850171655497846}";1478299.0519063764;4932.672037407623
750000049;49;7511301;Salpêtrière;13;750000013;4759.09623874;1181560.26743328;"{""lon"":2.3633186351497177,""lat"":48.83740588522813}";1181560.267433279;4758.777702412646
750000051;51;7511303;Maison-Blanche;13;750000013;6814.37328766;2231505.76112385;"{""lon"":2.352433149542824,""lat"":48.82312780567426}";2231505.761123848;6813.834587751192
750000021;21;7510601;Monnaie;6;750000006;2391.1228183;293360.5723113;"{""lon"":2.340035371130514,""lat"":48.85438440363996}";293360.5723113017;2391.0029730582137
750000008;8;7510204;Bonne-Nouvelle;2;750000002;2233.97603015;281448.20657677;"{""lon"":2.3500801904088187,""lat"":48.8671501183107}";281448.2065767738;2233.886352516399
750000031;31;7510803;Madeleine;8;750000008;3791.50973543;760726.55813705;"{""lon"":2.320053028649194,""lat"":48.87126549302095}";760726.5581370479;3791.375895912415
750000042;42;7511102;Saint-Ambroise;11;750000011;4052.5677372;837992.9215673;"{""lon"":2.376118055918989,""lat"":48.86234502354463}";837992.9215673023;4052.387113997111
750000044;44;7511104;Sainte-Marguerite;11;750000011;4591.31079852;929609.24169048;"{""lon"":2.3887648336025635,""lat"":48.85209650697998}";929609.2416904774;4591.0739266989885
750000011;11;7510303;Archives;3;750000003;2534.10004151;367728.38686733;"{""lon"":2.3632050573309638,""lat"":48.859192412713874}";367728.3868673328;2533.985803877947
750000063;63;7511603;Porte-Dauphine;16;750000016;7447.04154604;3086718.43263253;"{""lon"":2.2719177404675657,""lat"":48.871765634282355}";3086718.4326325315;7446.789257818564
750000064;64;7511604;Chaillot;16;750000016;5207.0464458;1424035.23620053;"{""lon"":2.2916790427412166,""lat"":48.86843361445447}";1424035.2362005273;5206.852210940697
750000025;25;7510701;Saint-Thomas-d'Aquin;7;750000007;3827.25335281;826559.43678046;"{""lon"":2.3255876525808024,""lat"":48.85526326937375}";826559.4367804645;3827.053421351392
750000012;12;7510304;Sainte-Avoie;3;750000003;1861.80411435;213316.35151125;"{""lon"":2.354851518245669,""lat"":48.862557245043206}";213316.35151124944;1861.7248920607651
750000079;79;7512003;Père-Lachaise;20;750000020;5013.65643213;1599001.97316102;"{""lon"":2.395272820760115,""lat"":48.86371948395739}";1599001.973161016;5013.444639294723
750000027;27;7510703;Ecole-Militaire;7;750000007;3887.70315653;807870.76658157;"{""lon"":2.3110309362657557,""lat"":48.85035926154756}";807870.7665815675;3887.493855634773
750000030;30;7510802;Faubourg-du-Roule;8;750000008;3773.67307276;796589.05165137;"{""lon"":2.3041188097211407,""lat"":48.874135575605415}";796589.05165137;3773.55458451488
750000032;32;7510804;Europe;8;750000008;4803.24276858;1182466.96498995;"{""lon"":2.3171746113048903,""lat"":48.87814767585099}";1182466.964989946;4803.104032944389
750000033;33;7510901;Saint-Georges;9;750000009;3429.18833397;717091.56964335;"{""lon"":2.3328501965554715,""lat"":48.87993433878255}";717091.5696433517;3429.0930448327395
750000035;35;7510903;Faubourg-Montmartre;9;750000009;2786.54192605;417335.0806209;"{""lon"":2.343252579473346,""lat"":48.873934691758095}";417335.0806208962;2786.448977885684
750000016;16;7510404;Notre-Dame;4;750000004;3283.16337082;378252.15367404;"{""lon"":2.3527750121216795,""lat"":48.852895586218004}";378252.1536740423;3282.9997167697097
750000061;61;7511601;Auteuil;16;750000016;12452.2539307;6383887.78432144;"{""lon"":2.252276907538065,""lat"":48.850622342726865}";6383887.784321435;12451.602251675227
750000002;2;7510102;Halles;1;750000001;2606.4171283;412458.49632967;"{""lon"":2.3448988583110166,""lat"":48.86228910809422}";412458.4963296733;2606.304933499752
750000028;28;7510704;Gros-Caillou;7;750000007;4720.99437256;1381893.27645234;"{""lon"":2.3015415556941874,""lat"":48.85829990387876}";1381893.2764523437;4720.770760341462
750000056;56;7511404;Plaisance;14;750000014;5961.72119019;1784947.86756023;"{""lon"":2.315304931573413,""lat"":48.83031704260011}";1784947.867560228;5961.27873397147
750000010;10;7510302;Enfants-Rouges;3;750000003;2139.62538775;271750.32393656;"{""lon"":2.363123300986952,""lat"":48.86388739200144}";271750.3239365592;2139.535591102379
750000013;13;7510401;Saint-Merri;4;750000004;2346.00468675;313040.39654987;"{""lon"":2.3516669671389687,""lat"":48.85852137232379}";313040.396549872;2345.892738822428
750000017;17;7510501;Saint-Victor;5;750000005;3087.21504003;604156.07289651;"{""lon"":2.354093153377686,""lat"":48.84766363545046}";604156.0728965056;3087.040810159433
750000073;73;7511901;Villette;19;750000019;5191.01882968;1285705.01238933;"{""lon"":2.3744682121256666,""lat"":48.88766108880349}";1285705.0123893328;5190.901965225276
750000004;4;7510104;Place-Vendôme;1;750000001;2147.81760172;269456.78059945;"{""lon"":2.328581664931248,""lat"":48.867018590627694}";269456.78059944545;2147.734559296956
750000074;74;7511902;Pont-de-Flandre;19;750000019;6397.87167647;2376238.12998783;"{""lon"":2.384777229270242,""lat"":48.89555577457166}";2376238.1299878294;6397.792841122916
750000009;9;7510301;Arts-et-Métiers;3;750000003;2482.4604529;318087.74045393;"{""lon"":2.3570831310567835,""lat"":48.86647028948414}";318087.74045393313;2482.361077038229
750000007;7;7510203;Mail;2;750000002;2179.15360481;278142.58508411;"{""lon"":2.3446991274274604,""lat"":48.868008337402706}";278142.5850841108;2179.06811319844
750000076;76;7511904;Combat;19;750000019;4435.27325197;1294987.89198123;"{""lon"":2.380127281829295,""lat"":48.87863907572485}";1294987.8919812287;4435.143640945352
